3.4 0.039	8.85191	0.541132	0.149585
3.4 0.042	7.06202	0.441117	0.406511
3.4 0.045	7.21777	0.520931	0.0199403
3.4 0.048	6.5484	0.394166	0.0315864
3.4 0.051	5.54113	0.357655	0.00463702
3.4 0.054	5.33921	0.318303	0.279183
3.4 0.057	4.79408	0.294146	0.180972
3.6 0.003	64.6285	3.93553	0.572105
3.6 0.006	46.3763	2.77871	0.391996
3.6 0.009	44.561	2.92414	0.369775
3.6 0.012	33.4982	2.30848	1.55865
3.6 0.015	27.2763	1.57973	0.76344
3.6 0.018	24.5006	1.58857	0.619505
3.6 0.021	19.7668	1.17869	0.187915
3.6 0.024	20.2644	1.47368	0.144347
3.6 0.027	16.3306	0.943949	0.911005
3.6 0.03	14.6182	0.837248	1.03125
3.6 0.033	11.5936	0.729936	0.218077
3.6 0.036	11.0542	0.663244	0.0259277
3.6 0.039	9.13545	0.561005	0.137402
3.6 0.042	8.65139	0.547743	0.221311
3.6 0.045	7.84233	0.545822	0.572906
3.6 0.048	7.07895	0.429794	0.330696
3.6 0.051	7.29084	0.450913	0.471224
3.6 0.054	5.97605	0.38174	0.574253
3.6 0.057	5.35158	0.386213	0.466262
3.8 0.003	94.9659	4.78048	3.15856
3.8 0.006	64.7637	5.17604	1.52262
3.8 0.009	51.1572	3.0288	0.770617
3.8 0.012	41.4319	3.02359	1.43161
3.8 0.015	35.5927	2.77421	0.320939
3.8 0.018	31.0847	2.22233	0.209592
3.8 0.021	26.1317	1.57351	0.170671
3.8 0.024	20.8432	1.57842	0.266877
3.8 0.027	18.3734	1.34587	0.00462213
3.8 0.03	15.6996	1.15623	0.621457
3.8 0.033	14.5548	0.924196	0.209155
3.8 0.036	11.8421	0.884394	0.360085
3.8 0.039	10.5212	0.661361	0.370649
3.8 0.042	10.3815	0.811933	0.326826
3.8 0.045	9.4877	0.582263	0.466667
3.8 0.048	8.20416	0.531247	0.412172
3.8 0.051	6.52915	0.466894	0.355527
3.8 0.054	6.01328	0.467307	0.530194
3.8 0.057	5.25984	0.430496	0.592233
4.0 0.003	111.399	10.3519	3.8603
4.0 0.006	68.0376	5.04346	2.3163
4.0 0.009	52.8667	5.3455	1.82327
4.0 0.012	48.6669	4.45016	4.65906
4.0 0.015	41.833	3.42083	1.51375
4.0 0.018	29.9528	2.45372	0.581078
4.0 0.021	33.2897	2.75049	0.120818
4.0 0.024	28.6796	2.3593	0.771985
4.0 0.027	24.4995	2.33264	0.69748
4.0 0.03	21.8006	1.87943	0.592556
4.0 0.033	16.7224	1.48355	1.90312
4.0 0.036	14.9103	1.3448	0.560797
4.0 0.039	14.4875	1.30919	0.113916
4.0 0.042	12.0117	1.05231	1.13926
4.0 0.045	10.2184	0.786477	1.02756
4.0 0.048	9.49697	0.662276	0.727909
4.0 0.051	8.66586	0.707745	0.91366
4.0 0.054	6.85466	0.612431	1.1111
4.0 0.057	7.21086	0.630264	1.21433
4.2 0.003	112.535	20.2444	3.0241
4.2 0.006	96.4383	8.39488	11.2881
4.2 0.009	80.4612	7.55641	0.560461
4.2 0.012	45.9185	4.27574	0.427649
4.2 0.015	43.2432	6.7416	0.597927
4.2 0.018	40.3104	3.4052	1.07437
4.2 0.021	34.65	3.52365	0.21666
4.2 0.024	26.8387	3.50562	0.139405
4.2 0.027	29.9342	3.90649	1.88457
4.2 0.03	22.545	2.20596	1.55529
4.2 0.033	20.9133	2.19605	1.34463
4.2 0.036	15.9715	2.35841	0.167869
4.2 0.039	15.0499	2.78053	0.550652
4.2 0.042	14.0982	2.00849	0.926213
4.2 0.045	11.7465	1.52352	1.77379
4.2 0.048	9.48362	1.33956	1.18794
4.2 0.051	8.204	1.17976	0.772654
4.2 0.054	8.31223	0.855154	1.44071
4.2 0.057	7.77377	0.888949	1.9529
